"","rank","University","Total.Students","student.staff.ratio","pc.of.int.l.students","female.male.ratio"
"1462","1201+","Muroran Institute of Technology","3,381",19.7,"5%","13 : 87"
"1463","1201+","Mustansiriyah University","39,567",8.4,"0%","52 : 48"
"1464","1201+","University of Mysore","7,890",21.9,"10%","41 : 59"
"1465","1201+","Universidad Nacional del Litoral","45,337",32.8,"0%","60 : 40"
"1466","1201+","Universidad Nacional Mayor de San Marcos","35,437",22.8,"1%","43 : 57"
"1467","1201+","Nagaoka University of Technology","2,271",11,"13%","11 : 89"
"1468","1201+","Nagoya City University","4,471",7.4,"2%","52 : 48"
"1469","1201+","Nagoya Institute of Technology","5,735",16.4,"4%","16 : 84"
"1470","1201+","Nara Medical University","1,278",3.3,"0%","45 : 55"
"1471","1201+","Naresuan University","19,284",13,"1%","64 : 36"
"1472","1201+","National Changhua University of Education","8,385",23.2,"10%","53 : 47"
"1473","1201+","National Chiayi University","12,094",24.2,"3%","48 : 52"
"1474","1201+","National Chi Nan University","5,896",14.9,"11%","54 : 46"
"1475","1201+","National Chin-Yi University of Technology","7,342",24.5,"5%","31 : 69"
"1476","1201+","National Chung Cheng University","11,320",19.9,"5%","44 : 56"
"1477","1201+","National Chung Hsing University","15,043",16.3,"6%","41 : 59"
"1478","1201+","National University of Cordoba","120,292",18.7,"2%","62 : 38"
"1479","1201+","National University of Cuyo","38,389",7.7,"3%","74 : 26"
"1480","1201+","National Ilan University","5,419",23.2,"3%","35 : 65"
"1481","1201+","National University of Kaohsiung","5,663",23.8,"4%","40 : 60"
"1482","1201+","National Research University of Electronic Technology (MIET)","4,468",8.8,"8%","28 : 72"
"1483","1201+","National Research Saratov State University","9,746",9.1,"11%","59 : 41"
"1484","1201+","National University of the South","28,364",9.7,"1%","58 : 42"
"1485","1201+","National Taipei University","8,349",16.3,"5%","54 : 46"
"1486","1201+","National Taiwan Ocean University","8,838",21.2,"8%","32 : 68"
"1487","1201+","National Technical University Kharkiv Polytechnic Institute","11,403",8,"10%","31 : 69"
"1488","1201+","National Technical University of Ukraine ¡V Igor Sikorsky Kyiv Polytechnic Institute","21,170",8,"3%","30 : 70"
"1489","1201+","National United University","7,457",20.5,"2%","33 : 67"
"1490","1201+","Necmettin Erbakan University","20,399",9.9,"4%","44 : 56"
"1491","1201+","University of Nigeria Nsukka","36,223",12.2,"1%","48 : 52"
"1492","1201+","Slovak University of Agriculture in Nitra","5,326",12.7,"3%","53 : 47"
"1493","1201+","University of North Carolina Wilmington","15,498",19.5,"2%","63 : 37"
"1494","1201+","University of the North, Colombia","14,690",19.5,"2%","51 : 49"
"1495","1201+","North-Eastern Federal University","12,498",11.6,"5%","56 : 44"
"1496","1201+","Nosov Magnitogorsk State Technical University","8,505",14.7,"4%","45 : 55"
"1497","1201+","Universidade Nove de Julho (Uninove)","84,156",21.1,"1%","58 : 42"
"1498","1201+","University of Novi Sad","48,529",16.3,"2%","56 : 44"
"1499","1201+","Novosibirsk State Technical University","11,426",10.7,"22%","50 : 50"
"1500","1201+","Obafemi Awolowo University","32,830",24.8,"0%","44 : 56"
"1501","1201+","Ochanomizu University","2,778",15.1,"5%","100 : 0"
"1502","1201+","Oita University","5,596",8.8,"2%","37 : 63"
"1503","1201+","Omsk State Technical University","16,048",15.1,"13%","37 : 63"
"1504","1201+","Ondokuz Mayis University","52,874",25.3,"10%","44 : 56"
"1505","1201+","University of Oradea","15,088",17.2,"7%","55 : 45"
"1506","1201+","Osaka City University","8,141",8.4,"3%","37 : 63"
"1507","1201+","Osaka Institute of Technology","7,158",26.1,"1%","13 : 87"
"1508","1201+","Osaka Medical College","1,223",2.7,"0%","51 : 49"
"1509","1201+","Osaka Prefecture University","7,724",12,"4%","36 : 64"
"1510","1201+","University of Ostrava","8,570",16.8,"10%","70 : 30"
"1511","1201+","Universitas Padjadjaran","37,497",14,"2%","59 : 41"
"1512","1201+","University of Pardubice","7,329",13.6,"8%","56 : 44"
"1513","1201+","Paris Nanterre University","34,252",37.1,"17%","63 : 37"
"1514","1201+","University of Passo Fundo (UPF)","12,991",24.2,"0%","58 : 42"
"1515","1201+","University of Pau and Pays de l¡¦Adour","13,620",15.1,"15%","52 : 48"
"1516","1201+","Pavlov First Saint Petersburg State Medical University","6,762",7.7,"13%","71 : 29"
"1517","1201+","Perm National Research Polytechnic University","8,488",9,"9%","31 : 69"
"1518","1201+","Perm State University","9,383",11.5,"3%","60 : 40"
"1519","1201+","University of Pernambuco","18,556",17.2,"0%","43 : 57"
"1520","1201+","Pirogov Russian National Research Medical University","8,468",6.4,"6%","72 : 28"
"1521","1201+","PMAS Arid Agriculture University Rawalpindi","10,924",43.7,"0%","37 : 63"
"1522","1201+","Universidad Politecnica Salesiana","24,420",28.2,"1%","40 : 60"
"1523","1201+","Polytechnic University of Bucharest","29,970",23.8,"3%","36 : 64"
"1524","1201+","Polytechnic University of Timi<U+015F>oara","12,715",20.2,"2%","39 : 61"
"1525","1201+","Pontifical Catholic University of Minas Gerais","39,904",31.2,"1%","56 : 44"
"1526","1201+","Universidad Pontificia Bolivariana (UPB)","12,539",11.5,"2%","56 : 44"
"1527","1201+","Port Said University","22,163",24.9,"0%","47 : 53"
"1528","1201+","Pozna<U+0144> University of Technology","15,506",12.1,"4%","31 : 69"
"1529","1201+","Prince of Songkla University","35,735",14.3,"2%","66 : 34"
"1530","1201+","Privolzhsky Research Medical University","4,502",6.9,"19%","72 : 28"
"1531","1201+","PSG College of Technology","8,734",14.3,"0%","38 : 62"
"1532","1201+","Purdue University Northwest","8,518",15.1,"6%","55 : 45"
"1533","1201+","Qassim University","48,543",11.7,"5%","62 : 38"
"1534","1201+","Razi University","11,711",25.6,"2%","59 : 41"
"1535","1201+","Recep Tayyip Erdo<U+011F>an University","13,054",20.7,"3%","51 : 49"
"1536","1201+","Ritsumeikan University","34,870",17.6,"8%","n/a"
"1537","1201+","Russian Presidential Academy of National Economy and Public Administration","15,668",8.8,"5%","57 : 43"
"1538","1201+","Ryukoku University","15,907",27.7,"2%","37 : 63"
"1539","1201+","University of the Ryukyus","7,593",9.8,"2%","38 : 62"
"1540","1201+","Rzeszow University of Technology","12,417",14.7,"1%","8 : 92"
"1541","1201+","University of La Sabana","11,860",16.8,"4%","58 : 42"
"1542","1201+","Saga University","6,656",9.7,"3%","40 : 60"
"1543","1201+","Saitama University","8,453",15.1,"6%","33 : 67"
"1544","1201+","Sakarya University","42,557",27,"6%","50 : 50"
"1545","1201+","Samara National Research University (Samara University)","9,591",10.9,"17%","49 : 51"
"1546","1201+","Samara State Technical University","13,940",15.8,"4%","38 : 62"
"1547","1201+","San Sebastian University","19,698",10.3,"0%","62 : 38"
"1548","1201+","University of Santiago, Chile (USACH)","25,051",25.2,"3%","42 : 58"
"1549","1201+","Sapporo Medical University","1,281",3.2,"0%","45 : 55"
"1550","1201+","Satbayev University","9,558",14.6,"2%","37 : 63"
"1551","1201+","Sathyabama Institute of Science and Technology","13,024",12.3,"2%","46 : 54"
"1552","1201+","University of Science and Technology of Oran Mohamed-Boudiaf","20,966",12.5,"1%","49 : 51"
"1553","1201+","Universitas Sebelas Maret","27,681",18.7,"1%","63 : 37"
"1554","1201+","Selcuk University","47,190",18.1,"4%","50 : 50"
"1555","1201+","Semnan University of Medical Sciences and Health Services","3,139",9,"6%","55 : 45"
"1556","1201+","Seoul National University of Science and Technology (SeoulTech)","11,495",19.5,"8%","35 : 65"
"1557","1201+","University of Sfax","29,452",12.6,"2%","68 : 32"
"1558","1201+","Shahed University","5,630",17.1,"0%","49 : 51"
"1559","1201+","Shahid Bahonar University of Kerman","14,423",22,"0%","60 : 40"
"1560","1201+","Shahid Rajaee Teacher Training University","10,247",47.7,"0%","30 : 70"
"1561","1201+","Shibaura Institute of Technology Tokyo","9,041",28,"6%","18 : 82"
"1562","1201+","Shimane University","6,096",7.5,"2%","37 : 63"
"1563","1201+","Shinshu University","10,774",10.4,"4%","32 : 68"
"1564","1201+","Shizuoka University","9,960",14.3,"4%","29 : 71"
"1565","1201+","University of Shizuoka","3,100",11.5,"3%","61 : 39"
"1566","1201+","Showa University","3,690",1.9,"0%","59 : 41"
"1567","1201+","Siksha ¡¥O¡¦ Anusandhan","13,738",9.9,"1%","56 : 44"
"1568","1201+","Silesian University of Technology","18,585",18.3,"3%","33 : 67"
"1569","1201+","Silpakorn University","24,465",22.2,"1%","69 : 31"
"1570","1201+","University of Sistan and Baluchestan","10,440",23.3,"1%","52 : 48"
"1571","1201+","Sivas Cumhuriyet University","27,549",22.1,"1%","50 : 50"
"1572","1201+","Slovak University of Technology in Bratislava","10,976",9.6,"4%","31 : 69"
"1573","1201+","Sofia University","21,332",6.2,"7%","68 : 32"
"1574","1201+","University of Sonora","32,790",23.8,"1%","55 : 45"
"1575","1201+","Soonchunhyang University","11,627",18,"4%","49 : 51"
"1576","1201+","Soongsil University","16,211",19.7,"11%","45 : 55"
"1577","1201+","Sophia University","13,517",11.6,"12%","59 : 41"
"1578","1201+","University of Sousse","25,385",11.5,"2%","68 : 32"
"1579","1201+","University of South China","26,710",7.4,"2%","45 : 55"
"1580","1201+","Southern Federal University","18,309",11.2,"12%","53 : 47"
"1581","1201+","Southwest Petroleum University","29,397",15.7,"2%","19 : 81"
"1582","1201+","Southwest State University","6,797",13.4,"11%","42 : 58"
"1583","1201+","Srinakharinwirot University","25,349",19.2,"0%","68 : 32"
"1584","1201+","SRM Institute of Science and Technology","52,713",15.8,"2%","22 : 78"
"1585","1201+","State University of Ponta Grossa","8,576",9.1,"0%","54 : 46"
"1586","1201+","State University of Santa Cruz","6,622",8.5,"1%","48 : 52"
"1587","1201+","St Petersburg Electrotechnical University (LETI)","8,274",13.1,"22%","30 : 70"
"1588","1201+","Suleyman Demirel University","41,272",35.7,"5%","50 : 50"
"1589","1201+","Suranaree University of Technology","14,247",29.3,"1%","56 : 44"
"1590","1201+","Taif University","44,494",20.7,"2%","60 : 40"
"1591","1201+","University of Talca","11,367",15.4,"1%","51 : 49"
"1592","1201+","Tamil Nadu Agricultural University","6,370",8.4,"0%","63 : 37"
"1593","1201+","Tamkang University","23,154",23.5,"8%","49 : 51"
"1594","1201+","University of Tarapaca","9,460",31.7,"3%","53 : 47"
"1595","1201+","Taras Shevchenko National University of Kyiv","23,708",10.2,"5%","55 : 45"
"1596","1201+","Technical University of Cluj-Napoca","18,618",20.3,"2%","38 : 62"
"1597","1201+","Technical University of Ko<U+0161>ice","9,325",12.3,"18%","27 : 73"
"1598","1201+","Technical University of Liberec","5,129",11.5,"12%","53 : 47"
"1599","1201+","Technical University of Loja","55,781",36.9,"1%","56 : 44"
"1600","1201+","Universidade Tecnologica Federal do Parana (UTFPR)","33,994",13.1,"1%","29 : 71"
"1601","1201+","Universiti Teknikal Malaysia Melaka","12,869",14.6,"6%","39 : 61"
"1602","1201+","Universiti Teknologi MARA","55,792",14.7,"0%","67 : 33"
"1603","1201+","Institut Teknologi Sepuluh Nopember","17,028",12.8,"4%","39 : 61"
"1604","1201+","Telkom University","18,377",20.1,"1%","42 : 58"
"1605","1201+","Thammasat University","28,843",11.7,"1%","64 : 36"
"1606","1201+","TOBB University of Economics and Technology","4,777",13.5,"1%","47 : 53"
"1607","1201+","Toho University","5,320",13.3,"0%","53 : 47"
"1608","1201+","Tokai University","28,535",15.2,"3%","27 : 73"
"1609","1201+","Tokat Gaziosmanpa<U+015F>a University","17,758",13.6,"4%","52 : 48"
"1610","1201+","Tokushima University","7,643",9.6,"3%","35 : 65"
"1611","1201+","Tokyo University of Agriculture","12,720",32.7,"1%","43 : 57"
"1612","1201+","Tokyo City University","7,426",14.8,"1%","23 : 77"
"1613","1201+","Tokyo Denki University","9,877",27.6,"3%","12 : 88"
"1614","1201+","Tokyo University of Marine Science and Technology","2,637",10.4,"7%","33 : 67"
"1615","1201+","Tokyo University of Pharmacy and Life Sciences","3,867",19.3,"0%","52 : 48"
"1616","1201+","Tokyo University of Science","18,298",25,"3%","24 : 76"
"1617","1201+","Tomas Bata University in Zlin","8,635",19.1,"11%","57 : 43"
"1618","1201+","Tomsk State University of Control Systems and Radioelectronics","6,234",14.7,"16%","32 : 68"
"1619","1201+","Tottori University","6,025",7.8,"2%","38 : 62"
"1620","1201+","University of Toyama","9,125",11.9,"4%","40 : 60"
"1621","1201+","Toyo University","30,873",24.8,"5%","43 : 57"
"1622","1201+","Toyohashi University of Technology (TUT)","2,015",10.3,"12%","11 : 89"
"1623","1201+","Transilvania University of Bra<U+0219>ov","18,985",20.4,"1%","52 : 48"
"1624","1201+","Tunghai University","15,547",21,"15%","54 : 46"
"1625","1201+","University of Tyumen","10,872",14.3,"12%","n/a"
"1626","1201+","Tzu Chi University","3,492",9.5,"11%","62 : 38"
"1627","1201+","Ufa State Aviation Technical University","9,277",13,"3%","36 : 64"
"1628","1201+","Unisinos University","11,598",20.8,"1%","52 : 48"
"1629","1201+","Universiti Malaysia Terengganu (UMT)","9,296",16.1,"4%","71 : 29"
"1630","1201+","Universiti Tun Hussein Onn Malaysia (UTHM)","15,741",17,"5%","47 : 53"
"1631","1201+","Utsunomiya University","4,829",14.1,"4%","37 : 63"
"1632","1201+","University of Valladolid","22,023",11.4,"8%","56 : 44"
"1633","1201+","University of Valparaiso","17,089",19,"3%","57 : 43"
"1634","1201+","University of Veterinary and Animal Sciences, Lahore","6,796",32.1,"0%","49 : 51"
"1635","1201+","Vietnam National University (Ho Chi Minh City)","75,358",22.7,"1%","33 : 67"
"1636","1201+","V.N. Karazin Kharkiv National University","17,080",8.5,"26%","55 : 45"
"1637","1201+","Voronezh State University","15,946",12.1,"16%","56 : 44"
"1638","1201+","VSB - Technical University of Ostrava","10,988",14.3,"12%","34 : 66"
"1639","1201+","Vytautas Magnus University","7,328",12.5,"20%","59 : 41"
"1640","1201+","University of Warmia and Mazury in Olsztyn","18,210",17.7,"2%","58 : 42"
"1641","1201+","Warsaw University of Life Sciences ¡V SGGW","16,738",14.1,"5%","55 : 45"
"1642","1201+","Warsaw University of Technology","25,482",18.9,"7%","34 : 66"
"1643","1201+","Western Kentucky University","14,455",18,"3%","60 : 40"
"1644","1201+","Western Michigan University","18,211",20.1,"8%","51 : 49"
"1645","1201+","West University of Timi<U+015F>oara","14,329",22.7,"6%","65 : 35"
"1646","1201+","Wroc<U+0142>aw University of Environmental and Life Sciences","8,359",19.2,"5%","68 : 32"
"1647","1201+","Wroc<U+0142>aw University of Science and Technology","24,396",19.7,"5%","34 : 66"
"1648","1201+","University of Wroc<U+0142>aw","20,366",11.2,"7%","64 : 36"
"1649","1201+","Yamagata University","8,846",8.5,"2%","34 : 66"
"1650","1201+","Yamaguchi University","10,739",10.8,"6%","38 : 62"
"1651","1201+","University of Yamanashi","4,679",6.1,"4%","30 : 70"
"1652","1201+","Yanshan University","36,050",16.4,"1%","39 : 61"
"1653","1201+","Yarmouk University","34,222",30.7,"8%","63 : 37"
"1654","1201+","Yazd University","14,112",29.5,"2%","57 : 43"
"1655","1201+","Yeditepe University","17,610",29.4,"4%","53 : 47"
"1656","1201+","Yokohama National University","9,805",12.6,"8%","29 : 71"
"1657","1201+","Yuan Ze University","8,017",19.9,"7%","42 : 58"
"1658","1201+","Yuri Gagarin State Technical University of Saratov (SSTU)","11,127",18.8,"5%","28 : 72"
"1659","1201+","Yuriy Fedkovych Chernivtsi National University","11,981",10.6,"1%","56 : 44"
"1660","1201+","Zonguldak Bulent Ecevit University","28,710",22.4,"6%","46 : 54"
"1661","1201+","Hungarian University of Agriculture and Life Sciences","11,524",11.9,"14%","53 : 47"
"1662","Reporter","Universite 8 Mai 1945 Guelma","16,105",18.4,"1%","69 : 31"
"1663","Reporter","University Abdelhamid Ibn Badis Mostaganem","24,635",19.3,"1%","66 : 34"
"1664","Reporter","Abdullah Gul University","1,958",14,"9%","38 : 62"
"1665","Reporter","Abertay University","3,915",21.1,"21%","48 : 52"
"1666","Reporter","Ada Kent University","640",7.5,"21%","34 : 66"
"1667","Reporter","Adelphi University","7,148",12,"7%","69 : 31"
"1668","Reporter","African School of Economics","158",3.2,"4%","21 : 79"
"1669","Reporter","Ahl Al Bayt University","2,500",13.8,"1%","54 : 46"
"1670","Reporter","Aichi Prefectural University","3,523",16.4,"1%","72 : 28"
"1671","Reporter","Aichi Institute of Technology","6,028",27.8,"1%","12 : 88"
"1672","Reporter","Ajman University","5,003",17.2,"83%","60 : 40"
"1673","Reporter","Akita Prefectural University","1,815",8.7,"1%","27 : 73"
"1674","Reporter","Al Ahliyya Amman University","4,108",12.9,"57%","51 : 49"
"1675","Reporter","Al Ain University","2,918",15,"55%","54 : 46"
"1676","Reporter","Al-Furat Al-Awsat Technical University","4,510",7.8,"0%","54 : 46"
"1677","Reporter","University of Alkafeel","3,770",25.1,"0%","49 : 51"
"1678","Reporter","Al-Maarif University College","6,000",17.6,"1%","60 : 40"
"1679","Reporter","Almazov National Medical Research Centre","986",3.9,"3%","61 : 39"
"1680","Reporter","Al-Muthanna University","13,729",20.4,"0%","54 : 46"
"1681","Reporter","Al-Nahrain University","4,745",4.6,"0%","54 : 46"
"1682","Reporter","Al-Nisour University College","5,500",15.1,"0%","44 : 56"
"1683","Reporter","University of Al-Qadisiyah","24,108",17.1,"0%","50 : 50"
"1684","Reporter","Al-Quds University","10,692",13.7,"6%","55 : 45"
"1685","Reporter","Altai State University","8,502",17.7,"20%","58 : 42"
"1686","Reporter","Alt<U+0131>nba<U+015F> University","6,823",13.6,"43%","55 : 45"
"1687","Reporter","Al-Zaytoonah University of Jordan","7,658",26.1,"29%","44 : 56"
"1688","Reporter","Anahuac University","16,494",6.6,"3%","55 : 45"
"1689","Reporter","University of Anbar","26,400",16,"0%","54 : 46"
"1690","Reporter","Antonio Narino University","14,698",13.4,"0%","52 : 48"
"1691","Reporter","Applied Science Private University","5,489",23.5,"34%","44 : 56"
"1692","Reporter","Arab American University","11,043",31.6,"44%","58 : 42"
"1693","Reporter","Arabian Gulf University","1,470",7,"68%","68 : 32"
"1694","Reporter","Armenian State University of Economics","4,420",12.4,"3%","38 : 62"
"1695","Reporter","Arts University Bournemouth","3,253",14.1,"20%","69 : 31"
"1696","Reporter","University of the Arts London","16,937",12.8,"57%","76 : 24"
"1697","Reporter","Arturo Prat University","12,963",22.1,"9%","55 : 45"
"1698","Reporter","Asahi University","2,516",8.4,"5%","33 : 67"
"1699","Reporter","Ashikaga University","1,476",17.6,"16%","26 : 74"
"1700","Reporter","Ateneo de Manila University","12,742",10.6,"4%","51 : 49"
"1701","Reporter","Austral University","4,517",9.5,"9%","53 : 47"
"1702","Reporter","Autonomous University of Chiapas","23,275",29.1,"0%","47 : 53"
"1703","Reporter","Azerbaijan State University of Economics","16,737",12.2,"2%","45 : 55"
"1704","Reporter","University of Babylon","24,196",13,"0%","49 : 51"
"1705","Reporter","Badr University in Cairo (BUC)","12,128",47.2,"1%","53 : 47"
"1706","Reporter","University of Bahrain","18,202",18.4,"16%","64 : 36"
"1707","Reporter","Bahria University","19,451",23.9,"0%","40 : 60"
"1708","Reporter","Bakrie University","3,219",33.9,"0%","57 : 43"
"1709","Reporter","University of Balamand","5,020",8,"5%","49 : 51"
"1710","Reporter","University of Balochistan","15,291",34.6,"0%","39 : 61"
"1711","Reporter","Banking University","2,536",8.8,"7%","n/a"
"1712","Reporter","Basrah University College of Science and Technology","1,320",20,"0%","39 : 61"
"1713","Reporter","Bath Spa University","6,734",17.2,"12%","69 : 31"
"1714","Reporter","Beirut Arab University","6,824",12.2,"18%","45 : 55"
"1715","Reporter","Belarusian State University of Informatics and Radioelectronics","14,737",18.1,"3%","19 : 81"
"1716","Reporter","Bernardo O¡¦Higgins University","6,984",18.1,"2%","66 : 34"
"1717","Reporter","Bharath Institute of Higher Education and Research","15,328",11.5,"0%","54 : 46"
"1718","Reporter","Birzeit University","10,730",16.5,"5%","63 : 37"
"1719","Reporter","Bishop Grosseteste University","1,992",20.2,"4%","80 : 20"
"1720","Reporter","University of Bogota Jorge Tadeo Lozano","7,646",15.5,"1%","53 : 47"
"1721","Reporter","University of Bolton","4,899",14.5,"29%","58 : 42"
"1722","Reporter","The British University in Egypt","11,131",19.3,"3%","45 : 55"
"1723","Reporter","B. S. Abdur Rahman Crescent Institute of Science and Technology","6,186",14.8,"1%","16 : 84"
"1724","Reporter","University of Buckingham","2,531",18.9,"34%","53 : 47"
"1725","Reporter","Buckinghamshire New University","5,078",16.4,"28%","61 : 39"
"1726","Reporter","Bukkyo University","6,218",27.5,"1%","46 : 54"
"1727","Reporter","Canadian International College (CIC) ¡V Cairo","8,974",26.6,"2%","31 : 69"
"1728","Reporter","Capital University of Science and Technology, Islamabad","4,767",23.6,"0%","24 : 76"
"1729","Reporter","Universidad Catolica de la Santisima Concepcion","9,760",24.5,"0%","56 : 44"
"1730","Reporter","CBS International Business School","1,668",45.1,"28%","49 : 51"
"1731","Reporter","University of Celaya","1,951",13,"2%","47 : 53"
"1732","Reporter","Central European University","1,297",7.6,"80%","53 : 47"
"1733","Reporter","CES University","6,199",13.5,"3%","70 : 30"
"1734","Reporter","CETYS Universidad","4,905",8.8,"14%","54 : 46"
"1735","Reporter","Chernihiv National University of Technology","5,914",20.5,"0%","42 : 58"
"1736","Reporter","University of Chichester","4,311",14.2,"6%","63 : 37"
"1737","Reporter","Chitkara University","12,853",16.7,"2%","37 : 63"
"1738","Reporter","Christ University Bengaluru India","22,357",20.1,"2%","48 : 52"
"1739","Reporter","University of Colima","13,504",9.1,"0%","54 : 46"
"1740","Reporter","Conservatoire for Dance and Drama","1,382",9.8,"34%","64 : 36"
"1741","Reporter","University of la Costa","12,023",25.7,"1%","46 : 54"
"1742","Reporter","Courtauld Institute of Art","466",13.7,"50%","81 : 19"
"1743","Reporter","Cranfield University","3,013",7.3,"68%","28 : 72"
"1744","Reporter","University for the Creative Arts","5,119",18.2,"28%","69 : 31"
"1745","Reporter","University of Cumbria","5,350",15.3,"9%","69 : 31"
"1746","Reporter","University of Cyberjaya","3,442",18.2,"11%","58 : 42"
"1747","Reporter","Daffodil International University (DIU)","16,842",21.3,"3%","33 : 67"
"1748","Reporter","Daito Bunka University","11,653",30.9,"2%","34 : 66"
"1749","Reporter","Damanhour University","53,323",47.4,"0%","61 : 39"
"1750","Reporter","Damietta University","29,883",25.2,"0%","67 : 33"
"1751","Reporter","Daneshpajoohan Pishro Higher Education Institute","2,977",45.1,"1%","67 : 33"
"1752","Reporter","Dawood University of Engineering and Technology","2,220",11.6,"1%","14 : 86"
"1753","Reporter","Deraya University","3,846",21.4,"0%","61 : 39"
"1754","Reporter","Derzhavin Tambov State University","9,213",14.4,"25%","58 : 42"
"1755","Reporter","Dhofar University","3,314",19.7,"5%","56 : 44"
"1756","Reporter","University of Diyala","23,250",17.7,"0%","50 : 50"
"1757","Reporter","Don Bosco University","2,188",12.3,"1%","41 : 59"
"1758","Reporter","Donetsk National University of Economics and Trade named after Mykhailo Tuhan-Baranovsky (DonNUET)","1,484",23.9,"1%","60 : 40"
"1759","Reporter","Dostoevsky Omsk State University","7,008",5.1,"6%","61 : 39"
"1760","Reporter","Dow University of Health Sciences","8,313",8.2,"2%","74 : 26"
"1761","Reporter","University of Duhok","19,847",11.3,"1%","52 : 48"
"1762","Reporter","Ecole de Psychologues Praticiens","1,037",25.9,"1%","n/a"
"1763","Reporter","University of Economics in Bratislava","6,981",15.1,"3%","61 : 39"
"1764","Reporter","Academy of Economic Studies of Moldova","6,295",28.2,"1%","62 : 38"
"1765","Reporter","University of Education, Lahore","26,200",29.1,"0%","52 : 48"
"1766","Reporter","Effat University","1,625",11.7,"16%","100 : 0"
"1767","Reporter","Egypt-Japan University of Science and Technology (E-JUST)","499",7.8,"3%","35 : 65"
"1768","Reporter","ESIC Business and Marketing School","5,390",15.9,"12%","46 : 54"
"1769","Reporter","Universidade do Estado do Amazonas","16,879",15.7,"0%","51 : 49"
"1770","Reporter","Universidade Estadual do Maranhao","17,984",14.3,"0%","59 : 41"
"1771","Reporter","Estonian Academy of Arts","1,210",7.1,"8%","74 : 26"
"1772","Reporter","Externado University of Colombia","12,750",9.3,"2%","58 : 42"
"1773","Reporter","University of Faisalabad","6,748",21,"2%","62 : 38"
"1774","Reporter","University of Fallujah","5,766",29.4,"0%","43 : 57"
"1775","Reporter","Falmouth University","5,144",20.3,"15%","59 : 41"
"1776","Reporter","Federal University of Alagoas","25,425",15.6,"%","n/a"
"1777","Reporter","Federal University of Parai-ba (UFPB)","30,385",12.3,"0%","n/a"
"1778","Reporter","Financial University under the Government of the Russian Federation","14,402",12.2,"6%","52 : 48"
"1779","Reporter","Finis Terrae University","9,683",8.2,"2%","58 : 42"
"1780","Reporter","University of Franca","51,473",137.3,"0%","62 : 38"
"1781","Reporter","Fukushima University","3,324",8.6,"2%","n/a"
"1782","Reporter","Full Sail University","24,451",40.9,"3%","31 : 69"
"1783","Reporter","Future University in Egypt","9,097",11.5,"9%","42 : 58"
"1784","Reporter","Ghulam Ishaq Khan Institute of Engineering Sciences and Technology","2,024",20,"0%","10 : 90"
"1785","Reporter","Glasgow School of Art","2,221",16,"44%","67 : 33"
"1786","Reporter","University of Gloucestershire","6,953",17.6,"10%","59 : 41"
"1787","Reporter","Gomal University","9,199",25.6,"1%","19 : 81"
"1788","Reporter","Government College Women University Faisalabad","14,633",61.2,"0%","100 : 0"
"1789","Reporter","Government College Women University, Sialkot","8,094",49.4,"0%","100 : 0"
"1790","Reporter","The Graduate University for Advanced Studies, SOKENDAI","491",0.4,"32%","29 : 71"
"1791","Reporter","Grodno State Medical University","4,294",7.5,"24%","69 : 31"
"1792","Reporter","Guildhall School of Music and Drama","998",5.2,"34%","50 : 50"
"1793","Reporter","Hagoromo University of International Studies","1,121",23.9,"21%","55 : 45"
"1794","Reporter","Hakuoh University","5,159",41.9,"0%","44 : 56"
"1795","Reporter","Hame University of Applied Sciences","6,336",24.2,"7%","51 : 49"
"1796","Reporter","Harper Adams University","2,219",14.4,"9%","58 : 42"
"1797","Reporter","Hawler Medical University","4,015",6.9,"2%","63 : 37"
"1798","Reporter","Health Sciences University of Hokkaido","3,424",9.1,"1%","59 : 41"
"1799","Reporter","University of Health Sciences, Turkey","17,322",7.4,"4%","34 : 66"
"1800","Reporter","Herzen State Pedagogical University of Russia","14,772",13.9,"14%","77 : 23"
"1801","Reporter","University of the Highlands and Islands","7,139",144.2,"12%","60 : 40"
"1802","Reporter","Hindustan Institute of Technology and Science","6,174",16.1,"0%","22 : 78"
"1803","Reporter","Hiroshima International University","3,765",14.3,"0%","51 : 49"
"1804","Reporter","Hiroshima Shudo University","4,777",16.8,"0%","38 : 62"
"1805","Reporter","Hiroshima Institute of Technology","4,627",24.7,"0%","10 : 90"
"1806","Reporter","Hitotsubashi University","6,215",17.3,"15%","32 : 68"
"1807","Reporter","Hokkaido University of Science","4,529",19.8,"0%","33 : 67"
"1808","Reporter","University of Human Development","2,734",16.4,"3%","56 : 44"
"1809","Reporter","Humanitas University","1,038",13.7,"19%","60 : 40"
"1810","Reporter","Humboldt State University","6,658",16.7,"1%","42 : 58"
"1811","Reporter","Hyogo University of Teacher Education","1,193",7.6,"2%","65 : 35"
"1812","Reporter","Icesi University","6,486",8.2,"2%","53 : 47"
"1813","Reporter","The ICFAI University, Jharkhand","599",16.6,"0%","28 : 72"
"1814","Reporter","IFHE Hyderabad","7,140",22,"0%","39 : 61"
"1815","Reporter","Ilam University of Medical Sciences","2,502",12.6,"3%","54 : 46"
"1816","Reporter","Ilma University","3,727",20.6,"0%","21 : 79"
"1817","Reporter","Imam Ja¡¦afar Al-Sadiq University","11,690",46,"0%","44 : 56"
"1818","Reporter","Indira Gandhi Delhi Technical University for Women","2,155",30.4,"0%","100 : 0"
"1819","Reporter","Innopolis University","771",9,"28%","18 : 82"
