rank,University,Total Students,student staff ratio,pc of int'l students,female:male ratio
Reporter,Basrah University College of Science and Technology,"1,320",20.0,0%,39 : 61
Reporter,Bath Spa University,"6,734",17.2,12%,69 : 31
Reporter,Beirut Arab University,"6,824",12.2,18%,45 : 55
Reporter,Belarusian State University of Informatics and Radioelectronics,"14,737",18.1,3%,19 : 81
Reporter,Bernardo O’Higgins University,"6,984",18.1,2%,66 : 34
Reporter,Bharath Institute of Higher Education and Research,"15,328",11.5,0%,54 : 46
Reporter,Birzeit University,"10,730",16.5,5%,63 : 37
Reporter,Bishop Grosseteste University,"1,992",20.2,4%,80 : 20
Reporter,University of Bogota Jorge Tadeo Lozano,"7,646",15.5,1%,53 : 47
Reporter,University of Bolton,"4,899",14.5,29%,58 : 42
Reporter,The British University in Egypt,"11,131",19.3,3%,45 : 55
Reporter,B. S. Abdur Rahman Crescent Institute of Science and Technology,"6,186",14.8,1%,16 : 84
Reporter,University of Buckingham,"2,531",18.9,34%,53 : 47
Reporter,Buckinghamshire New University,"5,078",16.4,28%,61 : 39
Reporter,Bukkyo University,"6,218",27.5,1%,46 : 54
Reporter,Canadian International College (CIC) – Cairo,"8,974",26.6,2%,31 : 69
Reporter,"Capital University of Science and Technology, Islamabad","4,767",23.6,0%,24 : 76
Reporter,Universidad Catolica de la Santisima Concepcion,"9,760",24.5,0%,56 : 44
Reporter,CBS International Business School,"1,668",45.1,28%,49 : 51
Reporter,University of Celaya,"1,951",13.0,2%,47 : 53
Reporter,Central European University,"1,297",7.6,80%,53 : 47
Reporter,CES University,"6,199",13.5,3%,70 : 30
Reporter,CETYS Universidad,"4,905",8.8,14%,54 : 46
Reporter,Chernihiv National University of Technology,"5,914",20.5,0%,42 : 58
Reporter,University of Chichester,"4,311",14.2,6%,63 : 37
Reporter,Chitkara University,"12,853",16.7,2%,37 : 63
Reporter,Christ University Bengaluru India,"22,357",20.1,2%,48 : 52
Reporter,University of Colima,"13,504",9.1,0%,54 : 46
Reporter,Conservatoire for Dance and Drama,"1,382",9.8,34%,64 : 36
Reporter,University of la Costa,"12,023",25.7,1%,46 : 54
Reporter,Courtauld Institute of Art,466,13.7,50%,81 : 19
Reporter,Cranfield University,"3,013",7.3,68%,28 : 72
Reporter,University for the Creative Arts,"5,119",18.2,28%,69 : 31
Reporter,University of Cumbria,"5,350",15.3,9%,69 : 31
Reporter,University of Cyberjaya,"3,442",18.2,11%,58 : 42
Reporter,Daffodil International University (DIU),"16,842",21.3,3%,33 : 67
Reporter,Daito Bunka University,"11,653",30.9,2%,34 : 66
Reporter,Damanhour University,"53,323",47.4,0%,61 : 39
Reporter,Damietta University,"29,883",25.2,0%,67 : 33
Reporter,Daneshpajoohan Pishro Higher Education Institute,"2,977",45.1,1%,67 : 33
Reporter,Dawood University of Engineering and Technology,"2,220",11.6,1%,14 : 86
Reporter,Deraya University,"3,846",21.4,0%,61 : 39
Reporter,Derzhavin Tambov State University,"9,213",14.4,25%,58 : 42
Reporter,Dhofar University,"3,314",19.7,5%,56 : 44
Reporter,University of Diyala,"23,250",17.7,0%,50 : 50
Reporter,Don Bosco University,"2,188",12.3,1%,41 : 59
Reporter,Donetsk National University of Economics and Trade named after Mykhailo Tuhan-Baranovsky (DonNUET),"1,484",23.9,1%,60 : 40
Reporter,Dostoevsky Omsk State University,"7,008",5.1,6%,61 : 39
Reporter,Dow University of Health Sciences,"8,313",8.2,2%,74 : 26
Reporter,University of Duhok,"19,847",11.3,1%,52 : 48
Reporter,Ecole de Psychologues Praticiens,"1,037",25.9,1%,
Reporter,University of Economics in Bratislava,"6,981",15.1,3%,61 : 39
Reporter,Academy of Economic Studies of Moldova,"6,295",28.2,1%,62 : 38
Reporter,"University of Education, Lahore","26,200",29.1,0%,52 : 48
Reporter,Effat University,"1,625",11.7,16%,100 : 0
Reporter,Egypt-Japan University of Science and Technology (E-JUST),499,7.8,3%,35 : 65
Reporter,ESIC Business and Marketing School,"5,390",15.9,12%,46 : 54
Reporter,Universidade do Estado do Amazonas,"16,879",15.7,0%,51 : 49
Reporter,Universidade Estadual do Maranhao,"17,984",14.3,0%,59 : 41
Reporter,Estonian Academy of Arts,"1,210",7.1,8%,74 : 26
Reporter,Externado University of Colombia,"12,750",9.3,2%,58 : 42
Reporter,University of Faisalabad,"6,748",21.0,2%,62 : 38
Reporter,University of Fallujah,"5,766",29.4,0%,43 : 57
Reporter,Falmouth University,"5,144",20.3,15%,59 : 41
Reporter,Federal University of Alagoas,"25,425",15.6,%,
Reporter,Federal University of Parai-ba (UFPB),"30,385",12.3,0%,
Reporter,Financial University under the Government of the Russian Federation,"14,402",12.2,6%,52 : 48
Reporter,Finis Terrae University,"9,683",8.2,2%,58 : 42
Reporter,University of Franca,"51,473",137.3,0%,62 : 38
Reporter,Fukushima University,"3,324",8.6,2%,
Reporter,Full Sail University,"24,451",40.9,3%,31 : 69
Reporter,Future University in Egypt,"9,097",11.5,9%,42 : 58
Reporter,Ghulam Ishaq Khan Institute of Engineering Sciences and Technology,"2,024",20.0,0%,10 : 90
Reporter,Glasgow School of Art,"2,221",16.0,44%,67 : 33
Reporter,University of Gloucestershire,"6,953",17.6,10%,59 : 41
Reporter,Gomal University,"9,199",25.6,1%,19 : 81
Reporter,Government College Women University Faisalabad,"14,633",61.2,0%,100 : 0
Reporter,"Government College Women University, Sialkot","8,094",49.4,0%,100 : 0
Reporter,"The Graduate University for Advanced Studies, SOKENDAI",491,0.4,32%,29 : 71
Reporter,Grodno State Medical University,"4,294",7.5,24%,69 : 31
Reporter,Guildhall School of Music and Drama,998,5.2,34%,50 : 50
Reporter,Hagoromo University of International Studies,"1,121",23.9,21%,55 : 45
Reporter,Hakuoh University,"5,159",41.9,0%,44 : 56
Reporter,Hame University of Applied Sciences,"6,336",24.2,7%,51 : 49
Reporter,Harper Adams University,"2,219",14.4,9%,58 : 42
Reporter,Hawler Medical University,"4,015",6.9,2%,63 : 37
Reporter,Health Sciences University of Hokkaido,"3,424",9.1,1%,59 : 41
Reporter,"University of Health Sciences, Turkey","17,322",7.4,4%,34 : 66
Reporter,Herzen State Pedagogical University of Russia,"14,772",13.9,14%,77 : 23
Reporter,University of the Highlands and Islands,"7,139",144.2,12%,60 : 40
Reporter,Hindustan Institute of Technology and Science,"6,174",16.1,0%,22 : 78
Reporter,Hiroshima International University,"3,765",14.3,0%,51 : 49
Reporter,Hiroshima Shudo University,"4,777",16.8,0%,38 : 62
Reporter,Hiroshima Institute of Technology,"4,627",24.7,0%,10 : 90
Reporter,Hitotsubashi University,"6,215",17.3,15%,32 : 68
Reporter,Hokkaido University of Science,"4,529",19.8,0%,33 : 67
Reporter,University of Human Development,"2,734",16.4,3%,56 : 44
Reporter,Humanitas University,"1,038",13.7,19%,60 : 40
Reporter,Humboldt State University,"6,658",16.7,1%,42 : 58
Reporter,Hyogo University of Teacher Education,"1,193",7.6,2%,65 : 35
Reporter,Icesi University,"6,486",8.2,2%,53 : 47
Reporter,"The ICFAI University, Jharkhand",599,16.6,0%,28 : 72
Reporter,IFHE Hyderabad,"7,140",22.0,0%,39 : 61
Reporter,Ilam University of Medical Sciences,"2,502",12.6,3%,54 : 46
Reporter,Ilma University,"3,727",20.6,0%,21 : 79
Reporter,Imam Ja’afar Al-Sadiq University,"11,690",46.0,0%,44 : 56
Reporter,Indira Gandhi Delhi Technical University for Women,"2,155",30.4,0%,100 : 0
Reporter,Innopolis University,771,9.0,28%,18 : 82
Reporter,Institute of Cancer Research,195,3.1,33%,61 : 39
Reporter,Institute of Telecommunications and Informatics of Turkmenistan,"2,868",9.8,0%,22 : 78
Reporter,International Christian University,"2,941",13.3,13%,60 : 40
Reporter,Ion Mincu University of Architecture and Urbanism,"2,897",11.9,11%,66 : 34
Reporter,Irkutsk National Research Technical University,"9,542",10.6,10%,36 : 64
Reporter,Israel Technological University,"2,745",40.4,0%,38 : 62
Reporter,Istanbul Ayd<U+0131>n University,"26,421",27.4,12%,50 : 50
Reporter,Istanbul Bilgi University,"11,904",15.9,8%,50 : 50
Reporter,Ivano Frankivsk National Technical University of Oil and Gas,"6,078",9.8,4%,24 : 76
Reporter,Jabir ibn Hayyan Medical University,"1,167",13.7,0%,59 : 41
Reporter,Japan University of Economics,"4,916",26.4,70%,31 : 69
Reporter,University of Jijel,"25,634",24.7,0%,72 : 28
Reporter,Jinnah Sindh Medical University,"3,233",11.5,3%,69 : 31
Reporter,Jouf University,"22,683",9.6,3%,62 : 38
Reporter,Kabardino-Balkarian State University,"8,660",8.9,13%,55 : 45
Reporter,Kadir Has University,"4,982",28.1,4%,51 : 49
Reporter,Kamianets-Pod<U+0456>lskyi Ivan Ohiienko National University,"3,134",7.9,0%,65 : 35
Reporter,Kastamonu University,"18,867",48.9,16%,72 : 28
Reporter,Kathmandu University,"4,204",10.7,4%,14 : 86
Reporter,Kazakh National Pedagogical University Abai,"10,434",9.2,4%,83 : 17
Reporter,Kazan State Medical University,"5,485",11.5,23%,64 : 36
Reporter,Kazan State Power Engineering University,"9,769",24.6,3%,33 : 67
Reporter,Keisen University,901,22.5,4%,100 : 0
Reporter,Kemerovo State University,"10,881",17.6,8%,62 : 38
Reporter,Kenyatta University,"42,275",33.3,5%,52 : 48
Reporter,University of Kerala,"2,642",13.1,1%,69 : 31
Reporter,University of Kerbala,"23,317",18.9,0%,54 : 46
Reporter,Kermanshah University of Technology,"2,258",13.7,0%,35 : 65
Reporter,Khazar University,"2,224",9.9,8%,53 : 47
Reporter,Khwaja Fareed University of Engineering and Information Technology,"12,540",16.6,0%,39 : 61
Reporter,King Edward Medical University,"3,171",9.8,3%,58 : 42
Reporter,University of Kirkuk,"22,827",25.3,0%,53 : 47
Reporter,Kitami Institute of Technology,"2,008",14.4,5%,14 : 86
Reporter,Kobe Gakuin University,"11,501",34.0,1%,38 : 62
Reporter,Kobe International University,"1,718",31.8,29%,31 : 69
Reporter,Kokugakuin University,"10,298",43.6,1%,44 : 56
Reporter,Komazawa University,"15,521",18.8,2%,38 : 62
Reporter,Konan University,"9,065",10.1,1%,42 : 58
Reporter,Konan Women’s University,"4,225",24.0,1%,100 : 0
Reporter,Konya Technical University,"14,015",34.4,4%,25 : 75
Reporter,Korea Aerospace University,"4,442",18.4,2%,23 : 77
Reporter,University of Kufa,"28,179",12.4,0%,65 : 35
Reporter,Kursk State Medical University,"6,508",11.2,32%,66 : 34
Reporter,Kutahya Health Sciences University,"2,443",7.5,0%,68 : 32
Reporter,Kyiv National Economic University,"10,585",9.4,2%,61 : 39
Reporter,Kyoai Gakuen University,"1,124",19.7,5%,64 : 36
Reporter,Kyoto Notre Dame University,"1,209",11.6,3%,100 : 0
Reporter,Kyoto Prefectural University,"2,090",14.2,1%,58 : 42
Reporter,Lagos State University,"26,266",37.0,0%,51 : 49
Reporter,La Salle University,"11,344",21.2,1%,54 : 46
Reporter,University of Las Americas (UDLA),"12,033",13.3,1%,54 : 46
Reporter,Leeds Arts University,"1,771",14.1,12%,77 : 23
Reporter,Leeds Trinity University,"3,055",22.0,7%,65 : 35
Reporter,Lesya Ukrainka Eastern European National University,"8,454",11.9,0%,68 : 32
Reporter,Lincoln University College,"5,737",15.5,49%,45 : 55
Reporter,Liverpool Hope University,"4,385",16.0,13%,70 : 30
Reporter,Liverpool Institute for Performing Arts,800,16.3,24%,57 : 43
Reporter,The LNM Institute of Information Technology,"1,904",20.9,0%,18 : 82
Reporter,London Business School,"1,782",15.4,91%,37 : 63
Reporter,London Metropolitan University,"7,542",20.6,42%,65 : 35
Reporter,London School of Hygiene and Tropical Medicine,855,1.8,61%,67 : 33
Reporter,University of Los Lagos,"5,249",16.9,0%,58 : 42
Reporter,Lusophone University of Humanities and Technologies,"5,717",10.2,24%,54 : 46
Reporter,University of Macerata (UNIMC),"10,346",22.4,4%,73 : 27
Reporter,Universiti Malaysia Kelantan,"6,596",18.0,1%,76 : 24
Reporter,Management Development Institute (MDI),898,12.5,0%,23 : 77
Reporter,Management & Science University (MSU),"9,196",10.1,18%,60 : 40
Reporter,University of Management and Technology,"22,503",23.7,0%,43 : 57
Reporter,Maritime University of Szczecin,"2,593",24.6,12%,27 : 73
Reporter,Universidad Mayor,"20,649",9.7,2%,57 : 43
Reporter,University of Medellin,"10,385",17.2,2%,54 : 46
Reporter,Meiji Gakuin University,"12,316",33.6,2%,61 : 39
Reporter,Meikai University,"4,075",16.3,16%,45 : 55
Reporter,Middle Technical University,"39,336",29.4,0%,42 : 58
Reporter,Mizoram University,"2,870",11.0,0%,48 : 52
Reporter,"MNS University of Agriculture, Multan","3,202",19.3,0%,20 : 80
Reporter,Modern University for Business and Science,"1,733",13.9,10%,53 : 47
Reporter,University of Monterrey,"10,125",29.8,1%,59 : 41
Reporter,Moscow State University of Design and Technology,"9,983",12.9,11%,69 : 31
Reporter,Moscow State University of Food Production,"4,515",8.3,8%,52 : 48
Reporter,Moscow State Linguistic University,"6,317",6.7,6%,71 : 29
Reporter,Moscow State University of Technology (STANKIN),"4,298",26.9,14%,24 : 76
Reporter,University of Mosul,"48,868",12.0,0%,46 : 54
Reporter,MSA University,"12,202",14.2,3%,50 : 50
Reporter,Mukogawa Women’s University,"8,440",27.0,0%,100 : 0
Reporter,Musashino University,"8,867",30.4,7%,59 : 41
Reporter,Mutah University,"10,993",15.7,17%,45 : 55
Reporter,Universidad Nacional de Chimborazo,"7,235",13.1,1%,56 : 44
Reporter,Nagoya University of Commerce & Business,"3,469",29.1,9%,21 : 79
Reporter,Nakhchivan State University,"6,770",13.1,7%,40 : 60
Reporter,Nakhon Ratchasima Rajabhat University,"15,126",24.7,1%,70 : 30
Reporter,Nara Women’s University,"2,600",5.9,4%,100 : 0
Reporter,National Agrarian University La Molina,"7,759",10.5,1%,48 : 52
Reporter,National Aviation University,"13,351",9.8,6%,40 : 60
Reporter,National Institute of Industrial Engineering,"1,046",16.1,0%,15 : 85
Reporter,National University Odessa Law Academy,"10,830",19.1,1%,35 : 65
Reporter,The National University of Ostroh Academy,"3,207",8.5,1%,60 : 40
Reporter,National University of Quilmes,"33,979",27.9,2%,54 : 46
Reporter,National University of Science and Technology,"3,765",14.4,17%,63 : 37
Reporter,National Transport University,"7,996",14.2,5%,30 : 70
Reporter,National University of Mongolia,"20,177",27.9,2%,61 : 39
Reporter,National University of Water and Environmental Engineering,"4,778",10.7,1%,38 : 62
Reporter,National University “Yuri Kondrautyuk Poltava Polytechnic,"5,174",7.6,9%,26 : 74
Reporter,NED University of Engineering and Technology,"11,962",22.2,0%,38 : 62
Reporter,Newman University,"2,449",18.0,12%,77 : 23
Reporter,Nihon Pharmaceutical University,"1,681",19.5,4%,48 : 52
Reporter,Niigata University of Health and Welfare,"4,281",18.1,0%,52 : 48
Reporter,University of Niigata Prefecture,"1,118",14.9,2%,78 : 22
Reporter,University of Northampton,"9,618",16.4,29%,65 : 35
Reporter,North-Caucasus Federal University,"18,009",8.7,9%,50 : 50
Reporter,Northern Border University,"15,384",10.9,2%,66 : 34
Reporter,Northern Technical University,"19,000",23.5,0%,49 : 51
Reporter,Norwich University of the Arts,"2,228",15.1,13%,62 : 38
Reporter,Notre Dame University Louaize,"5,054",12.4,12%,40 : 60
Reporter,University of Nova Gorica,391,3.4,50%,53 : 47
Reporter,Nueva Granada Military University,"18,541",10.2,0%,46 : 54
Reporter,October 6 University,"25,910",20.0,2%,48 : 52
Reporter,Ogarev Mordovia State University,"11,861",11.1,16%,50 : 50
Reporter,Okayama Prefectural University,"1,811",11.3,1%,53 : 47
Reporter,Universite d’Oran 2 Mohamed Ben Ahmed,"26,883",28.5,1%,47 : 53
Reporter,Orel State Agrarian University named after N.V. Parahin,"1,786",11.0,15%,40 : 60
Reporter,ORT Uruguay University,"4,078",6.5,3%,48 : 52
Reporter,Osaka University of Economics and Law,"3,146",35.9,19%,25 : 75
Reporter,Osaka Ohtani University,"3,117",22.9,0%,54 : 46
Reporter,Ostrogradsky National University of Kremenchuk,"3,668",11.8,0%,40 : 60
Reporter,Universidad Panamericana (UP),"14,568",8.5,1%,49 : 51
Reporter,Universidad Peruana de Ciencias Aplicadas (UPC),"50,501",19.7,1%,49 : 51
Reporter,Petersburg State Transport University,"8,674",16.1,12%,34 : 66
Reporter,University of Petra,"6,828",22.8,30%,57 : 43
Reporter,Platov South-Russian State Polytechnic University (NPI),"8,862",16.5,7%,23 : 77
Reporter,Plymouth Marjon University,"1,836",24.3,3%,63 : 37
Reporter,Poltava V.G. Korolenko National Pedagogical University (PNPU),"3,812",5.8,0%,51 : 49
Reporter,Polytechnic Institute of Setubal,"7,346",16.8,7%,44 : 56
Reporter,Pontificia Universidad Catolica del Ecuador,"23,313",19.1,1%,57 : 43
Reporter,Universidad Popular Autonoma del Estado de Puebla,"12,015",13.7,2%,59 : 41
Reporter,Prefectural University of Hiroshima,"2,684",11.5,3%,63 : 37
Reporter,Prince Mohammad Bin Fahd University,"3,267",14.1,12%,50 : 50
Reporter,Princess Nourah bint Abdulrahman University,"28,535",12.3,15%,100 : 0
Reporter,Prince Sultan University (PSU),"4,772",24.6,15%,56 : 44
Reporter,"University of Professional Studies, Accra","13,730",43.6,0%,42 : 58
Reporter,Prydniprovska State Academy of Civil Engineering and Architecture,"3,133",6.1,5%,40 : 60
Reporter,University of Puthisastra,"1,800",5.7,0%,57 : 43
Reporter,Pyatigorsk State University,"3,784",13.4,2%,71 : 29
Reporter,Queen Margaret University,"3,884",20.1,32%,76 : 24
Reporter,Rajamangala University of Technology Lanna,"14,151",12.3,1%,44 : 56
Reporter,Ravensbourne,"2,417",24.0,27%,48 : 52
Reporter,Rawalpindi Medical University,"3,004",9.3,2%,71 : 29
Reporter,Ritsumeikan Asia Pacific University (APU),"5,403",24.9,52%,52 : 48
Reporter,The Rockefeller University,239,2.0,33%,44 : 56
Reporter,Rose Bruford College,665,23.9,19%,59 : 41
Reporter,Rostov State University of Economics,"20,109",22.9,4%,68 : 32
Reporter,Royal Academy of Music,870,10.2,47%,50 : 50
Reporter,Royal Agricultural University,"1,072",19.5,13%,49 : 51
Reporter,"Royal Central School of Speech and Drama, University of London",989,16.2,35%,67 : 33
Reporter,Royal College of Art,"2,161",24.4,73%,67 : 33
Reporter,Royal College of Music,796,9.9,55%,50 : 50
Reporter,Royal Conservatoire of Scotland,"1,190",10.5,37%,56 : 44
Reporter,Royal Northern College of Music,859,11.1,31%,49 : 51
Reporter,Russian State Social University,"16,309",37.2,18%,64 : 36
Reporter,Ryazan State Medical University,"6,851",11.8,15%,67 : 33
Reporter,University of Sadat City,"29,872",34.4,4%,54 : 46
Reporter,Saint Petersburg State Pediatric Medical University,"5,516",11.4,19%,70 : 30
Reporter,Saint Petersburg State University of Architecture and Civil Engineering,"10,607",20.1,8%,53 : 47
Reporter,"Saint Thomas University, Colombia","30,490",16.9,0%,51 : 49
Reporter,Samara State Medical University,"5,915",7.8,9%,71 : 29
Reporter,Universidad San Ignacio de Loyola,"21,167",28.0,1%,50 : 50
Reporter,University of San Martin de Porres,"38,212",21.7,0%,57 : 43
Reporter,University of Santander,"18,384",21.3,0%,61 : 39
Reporter,Sapporo Gakuin University,"2,334",21.2,1%,28 : 72
Reporter,Saratov State Medical University,"7,576",6.9,12%,
Reporter,Sasin School of Management,284,10.5,5%,40 : 60
Reporter,Satya Wacana Christian University,"16,522",29.5,0%,53 : 47
Reporter,Saudi Electronic University,"24,538",33.8,5%,44 : 56
Reporter,SBS Swiss Business School,"1,480",10.5,58%,45 : 55
Reporter,Scientific University of the South,"10,204",17.4,1%,64 : 36
Reporter,Seinan Gakuin University,"8,337",39.0,1%,57 : 43
Reporter,Seisa Dohto University,843,12.6,9%,28 : 72
Reporter,Senshu University,"21,512",27.5,3%,34 : 66
Reporter,University of La Serena,"7,778",21.6,1%,51 : 49
Reporter,Setsunan University,"8,224",28.3,1%,33 : 67
Reporter,SGH Warsaw School of Economics,"10,079",31.8,13%,49 : 51
Reporter,The University of Shiga Prefecture,"2,825",13.8,1%,49 : 51
Reporter,Shonan Institute of Technology,"2,188",28.8,9%,6 : 94
Reporter,Shoolini University of Biotechnology and Management Sciences,"3,173",15.4,2%,42 : 58
Reporter,Shri Mata Vaishno Devi University,"1,683",13.0,0%,49 : 51
Reporter,Siberian State Industrial University,"6,570",25.8,10%,
Reporter,Silesian University in Opava,"5,364",21.7,8%,62 : 38
Reporter,Simon Bolivar University (Colombia),"18,351",19.5,1%,61 : 39
Reporter,Skolkovo Institute of Science and Technology (Skoltech),"1,062",9.1,18%,30 : 70
Reporter,Sohar University,"6,025",27.0,2%,80 : 20
Reporter,Soka University,"6,725",18.2,7%,55 : 45
Reporter,"Solent University, Southampton","8,835",15.8,26%,45 : 55
Reporter,Soran University,"4,544",11.3,0%,49 : 51
Reporter,University of South Santa Catarina (Unisul),"15,301",12.2,1%,60 : 40
Reporter,Sri Lanka Institute of Information Technology,"10,272",40.6,0%,36 : 64
Reporter,State University of Bahia,"26,691",12.6,0%,65 : 35
Reporter,St Luke’s International University,716,8.2,2%,93 : 7
Reporter,"St Mary’s University College, Belfast",934,22.3,45%,73 : 27
Reporter,"St Mary’s University, Twickenham","4,700",18.1,18%,56 : 44
Reporter,Stranmillis University College,"1,361",29.3,18%,82 : 18
Reporter,Suez University,"16,803",22.7,2%,58 : 42
Reporter,University of Suffolk,"3,195",17.0,13%,71 : 29
Reporter,Sugiyama Jogakuen University,"6,126",30.2,1%,100 : 0
Reporter,University of Sumatera Utara,"35,678",34.5,1%,51 : 49
Reporter,University of Sunderland,"10,810",15.9,34%,59 : 41
Reporter,University of Taipei,"7,409",15.0,2%,59 : 41
Reporter,Takushoku University,"9,564",13.7,11%,30 : 70
Reporter,Tama Art University,"4,672",33.1,10%,69 : 31
Reporter,Tarbiat Modares University,"8,761",11.3,1%,47 : 53
Reporter,Tashkent Institute of Finance,"4,365",11.5,1%,35 : 65
Reporter,Tashkent Institute of Irrigation and Agricultural Mechanisation,"6,022",9.7,4%,21 : 79
Reporter,Tashkent Medical Academy,"5,589",6.0,3%,52 : 48
Reporter,Tashkent Pediatric Medical Institute,"4,452",8.6,2%,54 : 46
Reporter,Tashkent Pharmaceutical Institute,"3,141",10.3,14%,70 : 30
Reporter,Tashkent State University of Economics,"7,952",16.7,0%,25 : 75
Reporter,Tashkent State University of Law,"4,750",11.0,1%,23 : 77
Reporter,Tata Institute of Fundamental Research,656,2.5,0%,30 : 70
Reporter,Tatung University,"4,235",19.5,3%,38 : 62
Reporter,Technological University of Pereira,"17,036",17.7,0%,43 : 57
Reporter,Tecmilenio University,"4,665",23.1,2%,44 : 56
Reporter,Universidad Tecnologica de Bolivar,"6,965",26.3,4%,47 : 53
Reporter,Instituto Tecnologico de Buenos Aires (ITBA),"3,370",11.6,9%,35 : 65
Reporter,Tecnologico de Costa Rica,"10,776",14.3,1%,34 : 66
Reporter,Instituto Tecnologico Metropolitano,"22,998",26.3,1%,56 : 44
Reporter,Teikyo Heisei University,"10,276",20.0,1%,47 : 53
Reporter,Temuco Catholic University,"10,329",13.2,1%,60 : 40
Reporter,Tenri University,"3,074",21.3,3%,34 : 66
Reporter,Texas A&M University-Commerce,"7,751",21.2,6%,61 : 39
Reporter,University of the Thai Chamber of Commerce,"18,754",31.4,7%,55 : 45
Reporter,The University of Danang,"47,305",26.1,2%,51 : 49
Reporter,Tikrit University,"32,275",11.7,0%,38 : 62
Reporter,Togliatti State University,"13,963",28.6,6%,47 : 53
Reporter,Tohoku Gakuin University,"11,321",36.3,0%,33 : 67
Reporter,Tokyo University of Foreign Studies,"4,455",17.3,10%,66 : 34
Reporter,Tokyo University of Technology,"7,836",31.8,4%,33 : 67
Reporter,Torcuato Di Tella University,"3,852",20.6,5%,43 : 57
Reporter,Toyama Prefectural University,"1,390",9.7,2%,20 : 80
Reporter,Trinity Laban Conservatoire of Music and Dance,"1,119",9.5,30%,66 : 34
Reporter,University of Tripoli,"65,583",20.1,2%,55 : 45
Reporter,Tsuru University,"3,498",29.6,2%,62 : 38
Reporter,Turin Polytechnic University in Tashkent,"1,622",23.9,1%,15 : 85
Reporter,Tver State University,"8,435",15.1,3%,65 : 35
Reporter,Tver State Technical University,"3,224",7.8,12%,34 : 66
Reporter,Ubon Ratchathani University,"13,018",18.1,0%,66 : 34
Reporter,"UEES, Espiritu Santo University","3,078",13.8,25%,49 : 51
Reporter,Ufa State Petroleum Technological University,"18,937",14.6,7%,38 : 62
Reporter,Ulyanovsk State University,"10,805",19.8,13%,54 : 46
Reporter,Ulyanovsk State Technical University,"6,960",11.9,6%,32 : 68
Reporter,Unichristus,"5,368",16.2,0%,62 : 38
Reporter,United International University,"4,943",22.6,0%,35 : 65
Reporter,Universidad del Pacifico Ecuador,575,13.4,3%,44 : 56
Reporter,Universidade Federal de Jatai (UFJ),"3,954",11.8,0%,61 : 39
Reporter,Universitas Negeri Surabaya,"25,446",28.2,0%,62 : 38
Reporter,University of Mostar,"10,171",9.3,14%,69 : 31
Reporter,University of Namibia,"28,970",22.2,4%,66 : 34
Reporter,UNNOBA,"8,179",10.9,2%,57 : 43
Reporter,Urgench State University,"16,650",17.6,6%,58 : 42
Reporter,Uruk University,"5,021",21.2,0%,54 : 46
Reporter,U<U+015F>ak University,"26,008",45.8,12%,40 : 60
Reporter,Uskudar University,"10,768",32.6,6%,55 : 45
Reporter,Universidad UTE,"12,757",19.8,1%,49 : 51
Reporter,National University of Uzbekistan named after Mirzo Ulugbek,"19,298",15.4,1%,49 : 51
Reporter,Uzhhorod National University,"13,918",10.3,11%,55 : 45
Reporter,Valahia University of Targoviste,"5,224",19.1,1%,47 : 53
Reporter,University of Vale do Itajai,"13,881",22.6,1%,54 : 46
Reporter,Varna University of Management,612,16.1,32%,47 : 53
Reporter,Vila Velha University,"4,972",16.6,1%,53 : 47
Reporter,Vitebsk State Medical University,"6,651",9.3,15%,73 : 27
Reporter,V.I. Vernadsky Crimean Federal University (Vernadsky CFU),"26,347",14.4,7%,55 : 45
Reporter,Volgograd State University,"5,443",10.7,4%,46 : 54
Reporter,Voronezh State Technical University,"8,358",7.2,6%,39 : 61
Reporter,Walailak University,"8,329",13.7,0%,73 : 27
Reporter,University of Wales,3,0.2,28%,31 : 69
Reporter,University of Wales Trinity Saint David,"8,051",16.8,16%,57 : 43
Reporter,Western Caspian University,"2,996",10.8,3%,
Reporter,University of West London,"8,752",15.1,39%,61 : 39
Reporter,West Ukrainian National University,"9,408",13.7,3%,42 : 58
Reporter,WHU: Beisheim,"1,669",32.7,31%,31 : 69
Reporter,University of Winchester,"7,009",16.0,10%,67 : 33
Reporter,The Women University Multan,"5,055",27.5,0%,100 : 0
Reporter,University of Worcester,"7,596",17.6,12%,67 : 33
Reporter,World University of Bangladesh (WUB),"6,673",29.8,0%,13 : 87
Reporter,Wrexham Glyndwr University,"3,168",18.8,16%,60 : 40
Reporter,Writtle University College,664,7.8,11%,80 : 20
Reporter,WSB Academy,"4,137",6.4,33%,49 : 51
Reporter,Yamaguchi Prefectural University,"1,404",13.0,1%,86 : 14
Reporter,Yamanashi Gakuin University,"3,678",23.4,8%,30 : 70
Reporter,Ya<U+015F>ar University,"6,847",13.0,2%,53 : 47
Reporter,Yenepoya University,"3,104",6.1,0%,67 : 33
Reporter,Yogyakarta State University,"24,988",20.3,1%,72 : 28
Reporter,York St John University,"6,029",18.1,8%,66 : 34
Reporter,Ziauddin University,"4,018",9.3,1%,60 : 40
